Date,News Headline,News Body,Sentiment Score,Closing Price,Next Day Prediction
2023-03-30 07:00:00,Will Apple's Pay Later Propel AAPL to New Highs? (Technical ... - TheStreet,"<a href=""https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svd2lsbC1hcHBsZXMtcGF5LWxhdGVyLXByb3BlbC1hYXBsLXRvLW5ldy1oaWdocy10ZWNobmljYWwtYW5hbHlzaXPSAQA?oc=5"" target=""_blank"">Will Apple's Pay Later Propel AAPL to New Highs? (Technical ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TheStreet</font>",-0.1926,162.36000061035156,164.89999389648438
2023-03-29 07:00:00,Apple (NASDAQ:AAPL) Set to Disrupt the BNPL Market - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL2FwcGxlLW5hc2RhcWFhcGwtc2V0LXRvLWRpc3J1cHQtdGhlLWJucGwtbWFya2V00gEA?oc=5"" target=""_blank"">Apple (NASDAQ:AAPL) Set to Disrupt the BNPL Market</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",0.0,160.77000427246094,162.36000061035156
2023-04-18 22:42:03,Recent SellOff of Apple AAPL Stock by Congress Raises Questions - Best Stocks,"<a href=""https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vYmVzdHN0b2Nrcy5jb20vcmVjZW50LXNlbGxvZmYtb2YtYXBwbGUtYWFwbC1zdG9jay1ieS1jb25ncmVzL9IBAA?oc=5"" target=""_blank"">Recent SellOff of Apple AAPL Stock by Congress Raises Questions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Best Stocks</font>",0.0,166.47000122070312,167.6300048828125
2023-04-17 18:12:00,"Technology Sector Update for 04/17/2023: GOOG, AAPL, MSFT ... - Nasdaq","<a href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdGVjaG5vbG9neS1zZWN0b3ItdXBkYXRlLWZvci0wNC0xNy0yMDIzOi1nb29nLWFhcGwtbXNmdC1nb29nbNIBAA?oc=5"" target=""_blank"">Technology Sector Update for 04/17/2023: GOOG, AAPL, MSFT ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",0.0,165.22999572753906,166.47000122070312
2023-04-20 08:20:33,8818 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Alpha ... - MarketBeat,"<a href=""https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm1hcmtldGJlYXQuY29tL2luc3RhbnQtYWxlcnRzL25hc2RhcS1hYXBsLXNlYy1maWxpbmctMjAyMy0wNC0yMC_SAQA?oc=5"" target=""_blank"">8818 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Alpha ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",0.296,166.64999389648438,165.00169372558594
2023-03-23 07:00:00,Apple Outlook: What Analysts Are Saying About AAPL Stock Now - InvestorPlace,"<a href=""https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wMy9hcHBsZS1vdXRsb29rLXdoYXQtYW5hbHlzdHMtYXJlLXNheWluZy1hYm91dC1hYXBsLXN0b2NrLW5vdy_SAQA?oc=5"" target=""_blank"">Apple Outlook: What Analysts Are Saying About AAPL Stock Now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">InvestorPlace</font>",0.0,158.92999267578125,160.25
2023-04-05 07:00:00,B of A Securities Maintains Apple (AAPL) Neutral Recommendation - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvYi1vZi1hLXNlY3VyaXRpZXMtbWFpbnRhaW5zLWFwcGxlLWFhcGwtbmV1dHJhbC1yZWNvbW1lbmRhdGlvbtIBAA?oc=5"" target=""_blank"">B of A Securities Maintains Apple (AAPL) Neutral Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",0.296,163.75999450683594,164.66000366210938
2023-04-03 07:00:00,Apple Stock: Dividend & Buyback Raise Expected Soon (NASDAQ ... - Seeking Alpha,"<a href=""https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1OTE5MTUtYXBwbGUtZGl2aWRlbmQtYnV5YmFjay1yYWlzZS1leHBlY3RlZC1zb29u0gEA?oc=5"" target=""_blank"">Apple Stock: Dividend & Buyback Raise Expected Soon (NASDAQ ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font>",0.0,166.1699981689453,165.6300048828125
2023-03-23 07:00:00,How Investors Can Benefit From Apple (AAPL) Breaking Into Cinema - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaG93LWludmVzdG9ycy1jYW4tYmVuZWZpdC1mcm9tLWFwcGxlLWFhcGwtYnJlYWtpbmctaW50by1jaW5lbWHSAWJodHRwczovL3d3dy5uYXNkYXEuY29tL2FydGljbGVzL2hvdy1pbnZlc3RvcnMtY2FuLWJlbmVmaXQtZnJvbS1hcHBsZS1hYXBsLWJyZWFraW5nLWludG8tY2luZW1hP2FtcA?oc=5"" target=""_blank"">How Investors Can Benefit From Apple (AAPL) Breaking Into Cinema</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",0.4588,158.92999267578125,160.25
2023-03-28 07:00:00,Apple (AAPL) Strengthens Streaming Service With New Content - Zacks Investment Research,"<a href=""https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnphY2tzLmNvbS9zdG9jay9uZXdzLzIwNzE0NjcvYXBwbGUtYWFwbC1zdHJlbmd0aGVucy1zdHJlYW1pbmctc2VydmljZS13aXRoLW5ldy1jb250ZW500gFmaHR0cHM6Ly93d3cuemFja3MuY29tL2FtcC9zdG9jay9uZXdzLzIwNzE0NjcvYXBwbGUtYWFwbC1zdHJlbmd0aGVucy1zdHJlYW1pbmctc2VydmljZS13aXRoLW5ldy1jb250ZW50?oc=5"" target=""_blank"">Apple (AAPL) Strengthens Streaming Service With New Content</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zacks Investment Research</font>",0.4588,157.64999389648438,160.77000427246094
2023-03-27 07:00:00,"AAPL chief operating officer sells $30M stock, likely to pay taxes - 9to5Mac","<a href=""https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vOXRvNW1hYy5jb20vMjAyMy8wMy8yNy9hYXBsLWNoaWVmLW9wZXJhdGluZy1vZmZpY2VyLXNlbGxzLTMwbS1zdG9jay1saWtlbHktdG8tcGF5LXRheGVzL9IBAA?oc=5"" target=""_blank"">AAPL chief operating officer sells $30M stock, likely to pay taxes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">9to5Mac</font>",-0.1027,158.27999877929688,157.64999389648438
2023-04-13 14:56:00,"Dow Movers: TRV, AAPL - Nasdaq","<a href=""https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvZG93LW1vdmVyczotdHJ2LWFhcGwtMNIBAA?oc=5"" target=""_blank"">Dow Movers: TRV, AAPL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",0.0,165.55999755859375,165.2100067138672
2023-04-17 14:16:28,Check Out What Whales Are Doing With AAPL - Apple (NASDAQ ... - Benzinga,"<a href=""https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9tYXJrZXRzL29wdGlvbnMvMjMvMDQvMzE4MzI1MjgvY2hlY2stb3V0LXdoYXQtd2hhbGVzLWFyZS1kb2luZy13aXRoLWFhcGzSAQA?oc=5"" target=""_blank"">Check Out What Whales Are Doing With AAPL - Apple (NASDAQ ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Benzinga</font>",0.0,165.22999572753906,166.47000122070312
2023-03-29 07:00:00,Apple Stock: Big Risk (NASDAQ:AAPL) - Seeking Alpha,"<a href=""https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ1OTEwMDYtYXBwbGUtYmlnLXJpc2vSAQA?oc=5"" target=""_blank"">Apple Stock: Big Risk (NASDAQ:AAPL)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Seeking Alpha</font>",-0.2732,160.77000427246094,162.36000061035156
